,Game_Id,Home_Score,Home_Team,Visitor_Score,Visitor_Team,Winner
469,2007020470,4,MTL,1,TOR,MTL
470,2007020471,7,OTT,3,ATL,OTT
471,2007020472,2,NYI,3,PIT,PIT
472,2007020473,5,PHI,6,CAR,CAR
473,2007020474,5,DET,2,FLA,DET
474,2007020475,2,T.B,3,WSH,WSH
475,2007020476,3,COL,1,NSH,COL
476,2007020477,2,EDM,1,VAN,EDM
477,2007020478,1,L.A,2,MIN,MIN
478,2007020479,2,S.J,4,DAL,DAL
479,2007020480,4,N.J,2,PHI,N.J
480,2007020481,1,NYR,5,PHX,PHX
481,2007020482,3,STL,5,CGY,CGY
482,2007020483,1,CHI,3,FLA,FLA
483,2007020484,1,ANA,2,S.J,S.J
484,2007020485,4,DET,3,WSH,DET
485,2007020486,2,L.A,4,COL,COL
486,2007020487,2,BOS,3,OTT,OTT
487,2007020488,4,NYR,0,PIT,NYR
488,2007020489,2,PHI,3,PHX,PHX
489,2007020490,3,CAR,2,TOR,CAR
490,2007020491,6,ATL,2,T.B,ATL
491,2007020492,1,CBJ,3,CGY,CGY
492,2007020493,2,MTL,3,FLA,FLA
493,2007020494,3,MIN,2,NSH,MIN
494,2007020495,1,EDM,2,DAL,DAL
495,2007020496,5,VAN,0,N.J,VAN
496,2007020497,0,S.J,2,ANA,ANA
497,2007020498,1,NYI,2,BUF,BUF
498,2007020499,6,DET,2,L.A,DET
499,2007020500,5,CHI,2,NSH,CHI
500,2007020501,2,ANA,1,COL,ANA
501,2007020502,4,BOS,5,PIT,PIT
502,2007020503,2,WSH,5,MTL,MTL
503,2007020504,3,ATL,2,OTT,ATL
504,2007020505,2,T.B,1,TOR,T.B
505,2007020506,5,FLA,4,CAR,FLA
506,2007020507,6,MIN,3,NYR,MIN
507,2007020508,3,STL,2,DET,STL
508,2007020509,3,VAN,2,DAL,VAN
509,2007020510,2,S.J,3,PHX,PHX
510,2007020511,2,CBJ,1,L.A,CBJ
511,2007020512,3,BUF,2,PHI,BUF
512,2007020513,2,PIT,4,NYI,NYI
513,2007020514,4,COL,3,NYR,COL
514,2007020515,2,CGY,3,DAL,DAL
515,2007020516,1,EDM,3,N.J,N.J
516,2007020517,1,BOS,4,STL,STL
517,2007020518,3,OTT,4,CHI,CHI
518,2007020519,3,NYI,2,WSH,NYI
519,2007020520,5,PHI,6,BUF,BUF
520,2007020521,3,ATL,2,MTL,ATL
521,2007020522,1,FLA,2,TOR,TOR
522,2007020523,1,T.B,4,CAR,CAR
523,2007020524,4,NSH,3,L.A,NSH
524,2007020525,1,MIN,4,DET,DET
525,2007020526,1,PHX,2,VAN,VAN
526,2007020527,2,S.J,5,ANA,ANA
527,2007020528,4,PIT,2,BOS,PIT
528,2007020529,1,CBJ,3,NSH,NSH
529,2007020530,2,STL,3,ATL,ATL
530,2007020531,1,NYR,3,OTT,OTT
531,2007020532,3,CHI,2,EDM,CHI
